"yearmonth.x","TICKER","gsector","bm","lt_ppent","SIZE","chqn","ab0"
201609,"DFS",40,0.250919297658666,1.50395951699062,0.00941441058468485,1.05584386037889,-0.0577
201610,"DFS",40,0.255529035608373,1.50397342371651,0.0114008712393927,1.31878904283122,-0.00409
201611,"DFS",40,0.25860479982045,1.50392669372878,0.0119354028532843,1.31966164089524,0.208315
201612,"DFS",40,0.231212542002389,1.48855471963171,0.0121290011437104,1.33824323666537,0.063445
201701,"DFS",40,0.231456028560008,1.48845642974767,0.217355892281391,1.16266623075894,-0.039379
201702,"DFS",40,0.232206964929524,1.48846984949152,0.212631369693256,1.15804656162501,0.030778
201503,"DG",25,-0.299076756576058,-0.231321835850861,-0.0536070457239951,-0.304624696470132,0.038006
201504,"DG",25,-0.299659809968408,-0.232685875142875,-0.0745184518430695,-0.28797150125169,-0.032502
201505,"DG",25,-0.298962015431465,-0.232967274570767,-0.0190175741612064,-0.342612648800498,-0.00165
201506,"DG",25,-0.282692639127053,-0.232586303647847,-0.0197889132258975,-0.344424259581493,0.073977
201507,"DG",25,-0.388753894300431,-0.232243145351857,-0.0109358911420239,-0.342920692013468,0.033831
201508,"DG",25,-0.388885460653504,-0.232208650015474,0.0794130747074576,-0.348982742305719,-0.073162
201509,"DG",25,-0.415123233196672,-0.234367274877926,0.0822410747955434,-0.347199903781977,-0.024567
201510,"DG",25,-0.492299149793775,-0.234769264133132,0.166247135381996,-0.323998985334619,-0.064467
201511,"DG",25,-0.49366454525583,-0.234843808974481,-0.00942826355503232,-0.322678588412237,-0.034824
201512,"DG",25,-0.538885595959389,-0.237778841976636,-0.0104561506506478,-0.323267576551617,0.102025
201601,"DG",25,-0.409796010279413,-0.237841335674097,-0.0404716609418307,-0.358244745431159,0.044286
201602,"DG",25,-0.40886844122095,-0.237895648147855,0.0507747503142112,-0.362683155354885,-0.010991
201603,"DG",25,-0.373096748165177,-0.231092600447738,0.0542935406018327,-0.362184459030829,0.156029
201604,"DG",25,-0.435873486450679,-0.231685739435314,0.0362047949762457,-0.349443702704207,-0.043207
201605,"DG",25,-0.438744754431385,-0.231745953432115,0.111569514275353,-0.348459728485271,0.097446
201606,"DG",25,-0.42841882080413,-0.231464496918836,0.108533432651296,-0.34975134720935,0.048187
201607,"DG",25,-0.484120704411529,-0.231167761075742,0.0858196184390254,-0.335552114554183,0.007672
201608,"DG",25,-0.481768604358299,-0.231104215439761,0.215008905286568,-0.333859981782253,-0.225342
201609,"DG",25,-0.477456275145433,-0.232329292173878,0.212914654521435,-0.335319817715837,-0.043382
201610,"DG",25,-0.569809258712348,-0.232262867728179,0.187335800057823,-0.360280690641763,-0.013059
201611,"DG",25,-0.56827094362731,-0.232325647264396,-0.138020171073644,-0.357138377258772,0.11902
201612,"DG",25,-0.567479286257387,-0.230632442992922,-0.137963379353582,-0.358271877124641,-0.0391
201701,"DG",25,-0.303125154154732,-0.230399246624436,-0.158909738532173,-0.329030037009759,-0.003775
201702,"DG",25,-0.302970024524048,-0.230379539613506,-0.111014814098106,-0.33445067696201,-0.011237
201503,"DGX",35,0.224339829302475,-0.178172720348614,-0.781777172706276,-0.362639951097302,0.095666
201504,"DGX",35,0.22671133468256,-0.178297810379033,-0.680033085597948,-0.227323310450168,-0.065712
201505,"DGX",35,0.227121284786461,-0.17857776431039,-0.685449812885054,-0.22730809644827,0.053346
201506,"DGX",35,-0.0450254617909759,-0.170176599108421,-0.686423120663097,-0.230048870707996,-0.036023
201507,"DGX",35,-0.0438940194254378,-0.170323458437035,-0.734047189537516,-0.353955109956054,0.023028
201508,"DGX",35,-0.0440991233329131,-0.170289060516184,-0.73510236916285,-0.353465009247437,-0.081425
201509,"DGX",35,0.0223769911107462,-0.173808063676657,-0.732818584016014,-0.351705199987647,-0.093363
201510,"DGX",35,0.022200150078629,-0.173846880922302,-0.806820889663258,-0.331871306326203,0.111599
201511,"DGX",35,0.0199483583080617,-0.173920803204599,-0.801044495228482,-0.33082139587926,0.005445
201512,"DGX",35,0.210550744672714,-0.176786259251582,-0.800885818086078,-0.331406624527514,0.041176
201601,"DGX",35,0.206299421934679,-0.177048200093828,-0.689669093868988,-0.36560551182647,-0.071649
201602,"DGX",35,0.20680062682271,-0.177101983192732,-0.680089452556146,-0.366390080072206,0.012896
201603,"DGX",35,0.139988366666934,-0.181423794429905,-0.676872323195731,-0.365896988794863,0.073752
201604,"DGX",35,0.134911888585338,-0.181533542321815,-0.716566329744059,-0.35373176400434,0.057563
201605,"DGX",35,0.129975712149634,-0.181593895800545,-0.720750715470209,-0.357003953308802,0.026506
201606,"DGX",35,0.114342768984268,-0.178136203669934,-0.724183915109469,-0.358261364204117,0.054744
201607,"DGX",35,0.121197713388439,-0.178248317393191,-0.631976375864667,-0.322714645591415,0.065517
201608,"DGX",35,0.124828046176405,-0.178185154147169,-0.639062158064443,-0.320660421313774,-0.041191
201609,"DGX",35,-0.0428792527160967,-0.179842674065299,-0.64096994136655,-0.322255346552162,0.026484
201610,"DGX",35,-0.0379245801501055,-0.17980963938216,-0.631983352914642,-0.329078938774457,-0.037893
201611,"DGX",35,-0.0353954645165315,-0.179871934047375,-0.634204608081026,-0.328085502939659,0.073819
201612,"DGX",35,-0.0360662194231262,-0.180413437620801,-0.634600492372382,-0.328877411566561,0.050466
201701,"DGX",35,-0.0358345627973617,-0.180551525098532,-0.590047857811717,-0.308812140673788,0.004714
201702,"DGX",35,-0.0353815297972618,-0.180532000421665,-0.592366727504218,-0.312674961532379,0.059652
201503,"DHI",25,0.566573750838438,0.113813502297197,-0.824917579763119,-0.31043231033107,0.042841
201504,"DHI",25,0.568684944583189,0.113693938335145,-0.738043407753588,-0.269834910869423,-0.108146
201505,"DHI",25,0.568907887475814,0.113421744802373,-0.743542965592082,-0.2698495952851,0.030807
201506,"DHI",25,0.397751745300894,0.089620411820754,-0.744533879059984,-0.27224755561213,0.047473
201507,"DHI",25,0.398567706829271,0.08948321093708,-0.773760579250958,-0.257648538744068,0.085161
201508,"DHI",25,0.398268252851996,0.0895172001154818,-0.774818773776529,-0.257197221958651,0.025008
201509,"DHI",25,0.498480176386466,0.0733734026874491,-0.77256152497221,-0.254942802201021,-0.033257
201510,"DHI",25,0.498112002460603,0.0733319632286964,-0.60807561358276,-0.159330284054328,0.002725
201511,"DHI",25,0.495040294104662,0.0732605668394917,-0.602380120082066,-0.158316579291179,0.100204
201512,"DHI",25,0.286908409567306,0.173379364402087,-0.602519223648907,-0.15898145250058,-0.008766
201601,"DHI",25,0.282604819502479,0.173129667910115,-0.540715905154792,-0.196772002209897,-0.141218
201602,"DHI",25,0.283053217818944,0.17307893409229,-0.531866379199516,-0.197634141423783,-0.026009
201603,"DHI",25,0.244937594700775,0.122386241706757,-0.52858807142926,-0.196885883130303,0.131162
201604,"DHI",25,0.239750018693994,0.122269823603891,-0.610879442422236,-0.196783021523463,-0.005724
201605,"DHI",25,0.234434573358393,0.122208625195491,-0.615074598597945,-0.200096673179583,0.019195
201606,"DHI",25,0.409846301202396,0.133090405930626,-0.618457377872198,-0.201982281188314,0.029905
201607,"DHI",25,0.416328086246134,0.132985596118603,-0.597490783122309,-0.238696587834609,0.044273
201608,"DHI",25,0.42058163698437,0.133046510423302,-0.604565711112576,-0.236612876525864,-0.022706
201609,"DHI",25,0.431482990076489,0.145013582719196,-0.606481025948326,-0.239067976193773,-0.058216
201610,"DHI",25,0.435880736959938,0.145042927042134,-0.675431228536347,-0.202389379811594,-0.045564
201611,"DHI",25,0.439292462277553,0.144983635272921,-0.677838582579226,-0.201405234092301,-0.035133
201612,"DHI",25,0.614836176048424,0.0327865642250462,-0.678274274756651,-0.200707690435996,-0.014369
201701,"DHI",25,0.615096642037645,0.0326535606352314,-0.802150152573237,-0.208043569897958,0.094002
201702,"DHI",25,0.616275157360911,0.032672305445973,-0.803837065206453,-0.211958220617239,0.07282
201503,"DHR",35,-0.0440789326865164,-0.174882459444092,1.00864648207938,0.0582523642604883,-0.025722
201504,"DHR",35,-0.0415032613179334,-0.175007487203742,1.00151780939611,0.00915996803117186,-0.035571
201505,"DHR",35,-0.0409466388914631,-0.175287353686671,0.998502099421848,0.00934150077289538,0.054226
201506,"DHR",35,-0.0287468880008336,-0.181746107838449,0.9980391295016,0.00469372320316472,-0.006893
201507,"DHR",35,-0.0276270441954853,-0.181893397285418,0.978791639799653,0.114944486304865,0.069751
201508,"DHR",35,-0.0278356168555267,-0.181858981162089,0.977866492846709,0.115245754977402,-0.049585
201509,"DHR",35,0.0191600776967211,-0.181034818262937,0.981294790667451,0.119413734934423,-0.019248
201510,"DHR",35,0.0189845294544264,-0.181073558843891,1.05746252903331,-0.097788645637718,0.095059
201511,"DHR",35,0.0167382776607874,-0.181147554974805,1.06248005124259,-0.0967878546562963,0.033008
201512,"DHR",35,-0.13447277818433,-0.16316329461649,1.05984546632815,-0.0974811353523319,-0.035114
201601,"DHR",35,-0.138487930038345,-0.163424759100295,1.11005800143807,-0.267816762486167,-0.067176
201602,"DHR",35,-0.137748117678787,-0.163478423568912,1.11081602299872,-0.26864626001151,0.030037
201603,"DHR",35,-0.166113548431769,-0.130351631632557,1.11477234057519,-0.268005375423244,0.064211
201604,"DHR",35,-0.170865990898243,-0.130462500824158,1.13753102244425,-0.276939855791134,0.019824
201605,"DHR",35,-0.174695966375912,-0.130522996340282,1.13315768743105,-0.280232331802279,0.016541
201606,"DHR",35,-0.141961315082475,-0.13914470780631,1.1306090276588,-0.281797107091285,0.028267
201607,"DHR",35,-0.134782712049359,-0.139255906471484,1.17345273987105,0.191064262903474,0.049843
201608,"DHR",35,-0.131692925442748,-0.139193024980247,1.1669352096373,0.193298803354327,-0.000568
201609,"DHR",35,-0.171416118505055,-0.128175903162415,1.16463312688888,0.186443824607039,-0.035761
201610,"DHR",35,-0.16631053704444,-0.1281434554127,0.892414972164798,-0.249241358928711,0.001841
201611,"DHR",35,-0.164020580163961,-0.12820527248225,0.89672312290303,-0.24825377756483,-0.004938
